MSE,MAE,R2,setting,train_users,train_rows,train_s
0.22127516567707062,0.24103572964668274,0.4193045496940613,fine-tuned (TL),5,570,1.2
0.3001820147037506,0.2293616235256195,0.21222823858261108,from scratch,5,570,1.6
0.1648283451795578,0.17403610050678253,0.5674387216567993,fine-tuned (TL),10,1240,1.6
0.36137959361076355,0.23776789009571075,0.051626503467559814,from scratch,10,1240,1.0
0.1139402687549591,0.13834942877292633,0.7009849548339844,fine-tuned (TL),25,3149,1.7
0.10307963192462921,0.1245553195476532,0.7294867038726807,from scratch,25,3149,1.7
0.1009787917137146,0.11026515811681747,0.73499995470047,fine-tuned (TL),50,6306,2.0
0.09300820529460907,0.10549516975879669,0.7559173107147217,from scratch,50,6306,1.6
0.06588766723871231,0.06630084663629532,0.8270900845527649,fine-tuned (TL),477,61820,4.6
0.06662901490926743,0.07616677135229111,0.8251445293426514,from scratch,477,61820,2.2
